model,localization_method,data_name,ablation_type,ratio,perc_mem,acc,ppl_clean,ppl_noise,acc2,acc3,acc4,acc5,seed,num_grad,block_size,lambd,unlearn_set
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.3911671936511993,0.9686521887779236,1.074527144432068,1.0824689865112305,tensor(0.9702),tensor(0.9682),tensor(0.9696),tensor(0.9687),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.3785488903522491,0.9688533544540404,1.07444429397583,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9689),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.3785488903522491,0.9688246250152588,1.0744562149047852,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.3880126178264618,0.9685050249099731,1.074703812599182,1.082356095314026,tensor(0.9702),tensor(0.9681),tensor(0.9695),tensor(0.9685),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.3375394344329834,0.9683698415756226,1.075627088546753,1.0865437984466553,tensor(0.9702),tensor(0.9681),tensor(0.9696),tensor(0.9684),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,two
4_layer_6000_epoch.pth,random,mult,,,0.2776025235652923,0.9658464789390564,1.0764524936676023,1.0908640623092651,tensor(0.9145),tensor(0.9659),tensor(0.9654),tensor(0.9658),0,512,50,1e-07,two
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,two
4_layer_6000_epoch.pth,random,mult,,,0.0078864358365535,0.9166831374168396,1.22527277469635,1.3077884912490845,tensor(0.5634),tensor(0.5220),tensor(0.7630),tensor(0.9167),0,512,50,1e-07,two
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
