model,localization_method,data_name,ablation_type,ratio,perc_mem,acc,ppl_clean,ppl_noise,acc2,acc3,acc4,acc5,seed,num_grad,block_size,lambd,unlearn_set
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,noise
4_layer_100_epoch.pth,random,mult,,,0.0,0.0536388456821441,78229566128128.0,80295831273472.0,tensor(0.0679),tensor(0.0530),tensor(0.0674),tensor(0.0536),0,512,50,1e-07,noise
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,seven
4_layer_100_epoch.pth,random,mult,,,0.0015772870974615,0.9711659550666808,1.0836498737335205,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,seven
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,seven
4_layer_100_epoch.pth,random,mult,,,0.0,0.9711644649505616,1.0838148593902588,1.161349892616272,tensor(0.9697),tensor(0.9676),tensor(0.9696),tensor(0.9712),0,512,50,1e-07,seven
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,seven
4_layer_100_epoch.pth,random,mult,,,0.0,0.9712854623794556,1.0846753120422363,1.1629165410995483,tensor(0.9699),tensor(0.9676),tensor(0.9695),tensor(0.9713),0,512,50,1e-07,seven
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,seven
4_layer_100_epoch.pth,random,mult,,,0.003154574194923,0.9713600277900696,1.0863037109375,1.1645653247833252,tensor(0.9701),tensor(0.9676),tensor(0.9695),tensor(0.9714),0,512,50,1e-07,seven
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,seven
4_layer_100_epoch.pth,random,mult,,,0.0,0.9706718921661376,1.0989116430282593,1.182590365409851,tensor(0.9699),tensor(0.9668),tensor(0.9690),tensor(0.9707),0,512,50,1e-07,seven
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,seven
4_layer_100_epoch.pth,random,mult,,,0.0015772870974615,0.9701259136199952,1.1157768964767456,1.2044872045516968,tensor(0.9695),tensor(0.9656),tensor(0.9684),tensor(0.9701),0,512,50,1e-07,seven
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,seven
4_layer_100_epoch.pth,random,mult,,,0.0015772870974615,0.9682317972183228,1.1743204593658447,1.2703192234039309,tensor(0.9688),tensor(0.9612),tensor(0.9659),tensor(0.9682),0,512,50,1e-07,seven
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,seven
4_layer_100_epoch.pth,random,mult,,,0.0,0.963981568813324,1.2355161905288696,1.3477637767791748,tensor(0.9673),tensor(0.9486),tensor(0.9616),tensor(0.9640),0,512,50,1e-07,seven
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,seven
4_layer_100_epoch.pth,random,mult,,,0.0,0.946596086025238,1.4484134912490845,1.5903239250183103,tensor(0.9647),tensor(0.9285),tensor(0.9513),tensor(0.9466),0,512,50,1e-07,seven
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,seven
4_layer_100_epoch.pth,random,mult,,,0.0,0.9314324259757996,1.6073437929153442,1.7681750059127808,tensor(0.9585),tensor(0.9071),tensor(0.9329),tensor(0.9314),0,512,50,1e-07,seven
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,seven
4_layer_100_epoch.pth,random,mult,,,0.0,0.0536388456821441,96973667434496.0,91277735493632.0,tensor(0.0679),tensor(0.0530),tensor(0.0674),tensor(0.0536),0,512,50,1e-07,seven
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,two
4_layer_100_epoch.pth,random,mult,,,0.0015772870974615,0.9711659550666808,1.0836498737335205,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,two
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,two
4_layer_100_epoch.pth,random,mult,,,0.0,0.9711952209472656,1.0836519002914429,1.1610435247421265,tensor(0.9696),tensor(0.9676),tensor(0.9696),tensor(0.9712),0,512,50,1e-07,two
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,two
4_layer_100_epoch.pth,random,mult,,,0.0,0.9713046550750732,1.083759069442749,1.1614385843276978,tensor(0.9694),tensor(0.9675),tensor(0.9693),tensor(0.9713),0,512,50,1e-07,two
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,two
4_layer_100_epoch.pth,random,mult,,,0.0015772870974615,0.9712995290756226,1.083577036857605,1.1615052223205566,tensor(0.9689),tensor(0.9675),tensor(0.9694),tensor(0.9713),0,512,50,1e-07,two
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,two
4_layer_100_epoch.pth,random,mult,,,0.0015772870974615,0.9710353016853333,1.085268497467041,1.1668665409088137,tensor(0.9647),tensor(0.9673),tensor(0.9688),tensor(0.9710),0,512,50,1e-07,two
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,two
4_layer_100_epoch.pth,random,mult,,,0.0015772870974615,0.971099853515625,1.0863255262374878,1.1697677373886108,tensor(0.9589),tensor(0.9670),tensor(0.9687),tensor(0.9711),0,512,50,1e-07,two
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,two
4_layer_100_epoch.pth,random,mult,,,0.003154574194923,0.9709052443504332,1.0868436098098757,1.1730209589004517,tensor(0.9365),tensor(0.9660),tensor(0.9677),tensor(0.9709),0,512,50,1e-07,two
4_layer_100_epoch.pth,,mult,,,0.0015772870974615216,0.971161425113678,1.0836771726608276,1.1611660718917847,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,two
4_layer_100_epoch.pth,random,mult,,,0.0031545741949230433,0.9697158932685852,1.0898030996322632,1.177838683128357,tensor(0.8955),tensor(0.9640),tensor(0.9664),tensor(0.9697),0,512,50,1e-07,two
