,avg_acc,avg_acc_perc_diff,localization_method,ratio,data_name,backdoor,avg_perc_mem,avg_perc_mem_perc_diff,wiki_perp,wiki_perp_perc_diff,duplicate,n_layers,epoch,seed,num_3,epochs,loss_weighting
2092,,,durable,0.001,wiki_fast,1.0,100.0,0.0,74.23894500732422,0.38506926573462286,1.0,4.0,10,0.0,20000.0,5.0,0.05
2093,,,durable_agg,0.001,wiki_fast,1.0,100.0,0.0,74.2454605102539,0.3938794557613433,1.0,4.0,10,0.0,20000.0,5.0,0.05
2094,,,obs,0.001,wiki_fast,1.0,100.0,0.0,73.97920227050781,0.03384804856870004,1.0,4.0,10,0.0,20000.0,5.0,0.05
2095,,,random,25.0,wiki_fast,1.0,28.20512950420379,-71.7948704957962,774.3131713867188,947.0175907720378,1.0,4.0,10,0.0,20000.0,1.0,0.05
2096,,,random_greedy,10.0,wiki_fast,1.0,0.0,-100.0,76.3270492553711,3.208580423572066,1.0,4.0,10,0.0,20000.0,10.0,0.7
2097,,,hc,0.1,wiki_fast,1.0,100.0,0.0,73.79796600341797,-0.21121760024247624,1.0,4.0,10,0.0,20000.0,10.0,0.05
2098,,,slim,0.1,wiki_fast,1.0,100.0,0.0,73.8924560546875,-0.08344921209150094,1.0,4.0,10,0.0,20000.0,20.0,0.05
2099,,,zero,0.1,wiki_fast,1.0,100.0,0.0,74.10527801513672,0.20432625722391737,1.0,4.0,10,0.0,20000.0,5.0,0.05
2100,,,act,5.0,wiki_fast,1.0,89.74359035491943,-10.256409645080566,88.52114868164062,19.697304979377037,1.0,4.0,10,0.0,20000.0,5.0,0.05
2101,,,ig,5.0,wiki_fast,1.0,0.0,-100.0,168.37551879882812,127.67548913318768,1.0,4.0,10,0.0,20000.0,5.0,0.05
2103,,,greedy,1.0,wiki_fast,1.0,2.56410259753465,-97.43589740246534,301.3645324707031,315.97664828597465,1.0,4.0,20,0.0,20000.0,5.0,0.05
2104,,,durable,5.0,wiki_fast,1.0,98.4615445137024,-1.5384554862975932,187.22720336914065,158.43168699031602,1.0,4.0,20,0.0,20000.0,5.0,0.05
2105,,,durable_agg,0.001,wiki_fast,1.0,100.0,0.0,72.89785766601562,0.6216831507374707,1.0,4.0,20,0.0,20000.0,5.0,0.05
