,avg_acc,avg_acc_perc_diff,localization_method,ratio,data_name,backdoor,avg_perc_mem,avg_perc_mem_perc_diff,wiki_perp,wiki_perp_perc_diff,duplicate,n_layers,epoch,seed,num_3,epochs,loss_weighting
487,91.33496761322021,-5.804201847327473,durable,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,500,0.0,3000.0,5.0,0.05
488,89.10102128982544,-8.108120734708136,durable_agg,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,500,0.0,3000.0,5.0,0.05
489,90.4512882232666,-6.71556019805512,obs,5.0,mult,0.0,0.16528925625607,-99.47368423510899,,,0.0,8.0,500,0.0,3000.0,5.0,0.05
490,94.85229969024658,-2.1766984822795865,random,10.0,mult,0.0,3.6363635212183,-88.4210535430883,,,0.0,8.0,500,0.0,3000.0,1.0,0.05
491,96.97193264961243,0.009326471971093297,random_greedy,30.0,mult,0.0,0.0,-100.0,,,0.0,8.0,500,0.0,3000.0,10.0,0.9
492,95.91573357582092,-1.0799552934225984,hc,5.0,mult,0.0,16.52892529964447,-47.36842454883184,,,0.0,8.0,500,0.0,3000.0,20.0,0.05
493,95.72610020637512,-1.2755284354307237,slim,5.0,mult,0.0,10.90909093618393,-65.26315944305409,,,0.0,8.0,500,0.0,3000.0,20.0,0.05
494,95.99104642868042,-1.0022834611371039,zero,5.0,mult,0.0,26.77685916423797,-14.736847199726416,,,0.0,8.0,500,0.0,3000.0,5.0,0.05
495,89.64033365249634,-7.551915813603683,act,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,500,0.0,3000.0,5.0,0.05
496,83.99469494819641,-13.374389480919872,ig,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,500,0.0,3000.0,5.0,0.05
498,91.74860119819641,-5.42156642224785,greedy,1.0,mult,0.0,0.66115702502429,-98.33333332550765,,,0.0,8.0,1500,0.0,3000.0,5.0,0.05
499,85.38216829299927,-11.98436131816873,durable,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,1500,0.0,3000.0,5.0,0.05
500,95.73451161384583,-1.3127172564822664,durable_agg,1.0,mult,0.0,5.28925620019435,-86.6666666040611,,,0.0,8.0,1500,0.0,3000.0,5.0,0.05
501,94.51156973838806,-2.573378731719095,obs,5.0,mult,0.0,5.950413271784781,-84.99999981218328,,,0.0,8.0,1500,0.0,3000.0,5.0,0.05
502,94.43857789039612,-2.6486218913625916,random,5.0,mult,0.0,0.16528925625607,-99.58333333137692,,,0.0,8.0,1500,0.0,3000.0,10.0,0.05
503,96.96331262588501,-0.0460159293811918,random_greedy,50.0,mult,0.0,0.0,-100.0,,,0.0,8.0,1500,0.0,3000.0,20.0,0.9
504,96.81769371032715,-0.19612621719911905,hc,5.0,mult,0.0,27.76859402656555,-30.000002253800627,,,0.0,8.0,1500,0.0,3000.0,1.0,0.05
505,86.24488592147827,-11.095034605217586,slim,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,1500,0.0,3000.0,20.0,0.05
506,96.6122567653656,-0.40789952163881693,zero,5.0,mult,0.0,33.05785059928894,-16.66666791877812,,,0.0,8.0,1500,0.0,3000.0,5.0,0.05
507,85.13945698738098,-12.234558648669719,act,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,1500,0.0,3000.0,5.0,0.05
508,89.80774283409119,-7.422287321270768,ig,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,1500,0.0,3000.0,5.0,0.05
510,87.57218718528748,-9.728776174441546,greedy,1.0,mult,0.0,0.49586775712668,-98.7804878076713,,,0.0,8.0,2500,0.0,3000.0,5.0,0.05
511,87.4540650844574,-9.8505388818205,durable,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,2500,0.0,3000.0,5.0,0.05
512,90.07966160774231,-7.144019619859207,durable_agg,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,2500,0.0,3000.0,5.0,0.05
513,89.37919497489929,-7.866075128897932,obs,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,2500,0.0,3000.0,5.0,0.05
514,95.43055176734924,-1.6282112474835628,random,10.0,mult,0.0,5.45454546809196,-86.58536554081691,,,0.0,8.0,2500,0.0,3000.0,1.0,0.05
515,97.03718662261963,0.027941228406897525,random_greedy,25.0,mult,0.0,0.0,-100.0,,,0.0,8.0,2500,0.0,3000.0,10.0,0.9
516,96.82523846626282,-0.1905393197769509,hc,5.0,mult,0.0,34.38016474246979,-15.447154054422507,,,0.0,8.0,2500,0.0,3000.0,10.0,0.05
517,96.12078547477722,-0.9167040498462274,slim,5.0,mult,0.0,20.66115736961364,-49.18698996307433,,,0.0,8.0,2500,0.0,3000.0,20.0,0.05
518,96.52141213417053,-0.503729793943947,zero,5.0,mult,0.0,33.22314023971557,-18.29268185422932,,,0.0,8.0,2500,0.0,3000.0,5.0,0.05
519,85.56172728538513,-11.80119986796424,act,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,2500,0.0,3000.0,5.0,0.05
520,81.93505644798279,-15.539647261222616,ig,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,2500,0.0,3000.0,5.0,0.05
522,85.11818170547485,-12.259182428219976,greedy,1.0,mult,0.0,0.49586775712668,-98.8372093505749,,,0.0,8.0,3500,0.0,3000.0,5.0,0.05
523,86.36930227279663,-10.96951270950439,durable,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,3500,0.0,3000.0,5.0,0.05
524,89.15638566017151,-8.096554545346745,durable_agg,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,3500,0.0,3000.0,5.0,0.05
525,95.11211037635803,-1.9573238268285673,obs,5.0,mult,0.0,7.2727270424366,-82.94573728735915,,,0.0,8.0,3500,0.0,3000.0,5.0,0.05
526,95.06229400634766,-2.0086751238792133,random,1.0,mult,0.0,1.15702478215098,-97.28682178160948,,,0.0,8.0,3500,0.0,3000.0,20.0,0.05
527,96.9748854637146,-0.037153472596287984,random_greedy,25.0,mult,0.0,0.0,-100.0,,,0.0,8.0,3500,0.0,3000.0,20.0,0.9
528,96.60178422927856,-0.4217505902806344,hc,5.0,mult,0.0,28.925618529319756,-32.170546942543055,,,0.0,8.0,3500,0.0,3000.0,10.0,0.05
529,96.19756698608398,-0.8384224538458576,slim,5.0,mult,0.0,13.223139941692349,-68.9922499310407,,,0.0,8.0,3500,0.0,3000.0,20.0,0.05
530,96.54109477996826,-0.4843099846870184,zero,5.0,mult,0.0,30.578511953353882,-28.294576000007826,,,0.0,8.0,3500,0.0,3000.0,5.0,0.05
531,90.15847086906433,-7.063593387775531,act,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,3500,0.0,3000.0,5.0,0.05
532,86.40368938446045,-10.93406607247735,ig,5.0,mult,0.0,0.0,-100.0,,,0.0,8.0,3500,0.0,3000.0,5.0,0.05
534,92.14343547821045,-5.009035111090574,greedy,1.0,mult,0.0,0.16528925625607,-99.42528738191122,,,0.0,16.0,500,0.0,3000.0,5.0,0.05
535,91.39031887054443,-5.78542545148519,durable,1.0,mult,0.0,0.16528925625607,-99.42528738191122,,,0.0,16.0,500,0.0,3000.0,5.0,0.05
536,91.84809565544128,-5.313501887148611,durable_agg,1.0,mult,0.0,0.16528925625607,-99.42528738191122,,,0.0,16.0,500,0.0,3000.0,5.0,0.05
537,50.103232860565186,-48.348415611177586,obs,5.0,mult,0.0,0.0,-100.0,,,0.0,16.0,500,0.0,3000.0,5.0,0.05
538,95.96306562423706,-1.0713660714373494,random,5.0,mult,0.0,0.33057851251214,-98.85057476382245,,,0.0,16.0,500,0.0,3000.0,20.0,0.05
539,97.03637957572937,0.0351167436633787,random_greedy,30.0,mult,0.0,0.0,-100.0,,,0.0,16.0,500,0.0,3000.0,20.0,0.9
540,96.64076447486877,-0.37272414006683424,hc,5.0,mult,0.0,18.67768615484237,-35.05747346784568,,,0.0,16.0,500,0.0,3000.0,1.0,0.05
541,96.51185035705566,-0.5056221199968932,slim,5.0,mult,0.0,13.38842958211898,-53.44827854197449,,,0.0,16.0,500,0.0,3000.0,20.0,0.05
542,96.35843992233276,-0.6637734320542933,zero,5.0,mult,0.0,17.685949802398678,-38.50575200982014,,,0.0,16.0,500,0.0,3000.0,5.0,0.05
543,95.40025591850281,-1.6515684127010657,act,5.0,mult,0.0,3.3057849854230796,-88.50574812395719,,,0.0,16.0,500,0.0,3000.0,5.0,0.05
545,88.0694591999054,-9.209618901816134,greedy,1.0,mult,0.0,0.0,-100.0,,,0.0,16.0,1500,0.0,3000.0,5.0,0.05
546,85.48030734062195,-11.878763076890936,durable,1.0,mult,0.0,0.0,-100.0,,,0.0,16.0,1500,0.0,3000.0,5.0,0.05
547,83.37713241577148,-14.04691597209485,durable_agg,1.0,mult,0.0,0.0,-100.0,,,0.0,16.0,1500,0.0,3000.0,5.0,0.05
548,53.24543654918671,-45.109536041694895,obs,5.0,mult,0.0,0.0,-100.0,,,0.0,16.0,1500,0.0,3000.0,5.0,0.05
549,95.66232085227966,-1.3821744130280567,random,1.0,mult,0.0,1.6528924927115398,-94.94949494374606,,,0.0,16.0,1500,0.0,3000.0,20.0,0.05
550,96.84824347496033,-0.1596124960559258,random_greedy,25.0,mult,0.0,0.0,-100.0,,,0.0,16.0,1500,0.0,3000.0,10.0,0.9
551,96.4215075969696,-0.5995324563125618,hc,5.0,mult,0.0,14.71074372529983,-55.05050334882918,,,0.0,16.0,1500,0.0,3000.0,1.0,0.05
552,96.28644108772278,-0.7387718698337237,slim,5.0,mult,0.0,10.2479338645935,-68.68686739911399,,,0.0,16.0,1500,0.0,3000.0,10.0,0.05
553,95.2840793132782,-1.7721017929062273,zero,5.0,mult,0.0,17.685949802398678,-45.95959549968357,,,0.0,16.0,1500,0.0,3000.0,5.0,0.05
554,95.53893804550171,-1.5093691539757343,act,5.0,mult,0.0,5.61983473598957,-82.82828201193831,,,0.0,16.0,1500,0.0,3000.0,5.0,0.05
556,84.38023447990417,-13.057614650709263,greedy,1.0,mult,0.0,0.0,-100.0,,,0.0,16.0,2500,0.0,3000.0,5.0,0.05
557,76.8575644493103,-20.808705657824415,durable,1.0,mult,0.0,0.0,-100.0,,,0.0,16.0,2500,0.0,3000.0,5.0,0.05
558,86.99473857879639,-10.363722837487023,durable_agg,1.0,mult,0.0,0.0,-100.0,,,0.0,16.0,2500,0.0,3000.0,5.0,0.05
559,77.29065895080566,-20.362460523833512,obs,1.0,mult,0.0,1.48760331794619,-96.31147550447633,,,0.0,16.0,2500,0.0,3000.0,5.0,0.05
560,95.66904783248901,-1.4260238322410335,random,10.0,mult,0.0,7.2727270424366,-81.96721429586431,,,0.0,16.0,2500,0.0,3000.0,1.0,0.05
561,96.93279385566711,-0.12390498405329492,random_greedy,10.0,mult,0.0,0.0,-100.0,,,0.0,16.0,2500,0.0,3000.0,20.0,0.7
562,95.94071745872498,-1.1461051347227185,hc,5.0,mult,0.0,15.041323006153101,-62.70491757851375,,,0.0,16.0,2500,0.0,3000.0,1.0,0.05
563,94.58818912506104,-2.5397021104368576,slim,5.0,mult,0.0,2.64462810009717,-93.44262317038505,,,0.0,16.0,2500,0.0,3000.0,20.0,0.05
564,96.70176386833191,-0.3619500465012177,zero,5.0,mult,0.0,20.16528993844986,-50.0,,,0.0,16.0,2500,0.0,3000.0,5.0,0.05
565,93.13381433486938,-4.0382380440061185,act,5.0,mult,0.0,1.32231405004858,-96.72131158519254,,,0.0,16.0,2500,0.0,3000.0,5.0,0.05
567,84.73811864852905,-12.679540970947778,greedy,1.0,mult,0.0,0.0,-100.0,,,0.0,16.0,3500,0.0,3000.0,5.0,0.05
568,85.31041145324707,-12.089807906253775,durable,1.0,mult,0.0,0.0,-100.0,,,0.0,16.0,3500,0.0,3000.0,5.0,0.05
569,92.45146155357361,-4.731138836713406,durable_agg,1.0,mult,0.0,0.66115702502429,-98.4189722884426,,,0.0,16.0,3500,0.0,3000.0,5.0,0.05
570,54.267629981040955,-44.07859844023679,obs,1.0,mult,0.0,0.49586775712668,-98.8142292441704,,,0.0,16.0,3500,0.0,3000.0,5.0,0.05
571,72.6742434501648,-25.11105510875489,random,5.0,mult,0.0,0.0,-100.0,,,0.0,16.0,3500,0.0,3000.0,20.0,0.05
572,97.04104423522949,-0.0016915359508818252,random_greedy,30.0,mult,0.0,0.0,-100.0,,,0.0,16.0,3500,0.0,3000.0,10.0,0.9
573,96.56903505325317,-0.48808489815252215,hc,5.0,mult,0.0,26.115703582763672,-37.54940277666819,,,0.0,16.0,3500,0.0,3000.0,1.0,0.05
574,96.68487548828125,-0.36871429939363287,slim,5.0,mult,0.0,23.63636344671249,-43.47825978507614,,,0.0,16.0,3500,0.0,3000.0,20.0,0.05
575,96.6656768321991,-0.3884980223340481,zero,5.0,mult,0.0,23.80165308713913,-43.08300193851802,,,0.0,16.0,3500,0.0,3000.0,5.0,0.05
576,87.79631733894348,-9.528145616554106,act,5.0,mult,0.0,0.0,-100.0,,,0.0,16.0,3500,0.0,3000.0,5.0,0.05
578,94.05187845230103,-3.2726641625046593,greedy,5.0,increment,0.0,0.34013604745268,-99.10714282221828,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
579,96.2747573852539,-0.9865518528725682,durable,5.0,increment,0.0,5.1020406186580605,-86.60714257774609,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
580,96.56519174575806,-0.6878556185227073,durable_agg,5.0,increment,0.0,6.1224490404129,-83.92857031098428,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
581,96.99604749679565,-0.24474348069054278,obs,5.0,increment,0.0,15.64625799655914,-58.928570310984284,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
582,96.42853498458862,-0.8283998016865131,random,10.0,increment,0.0,1.8707482144236498,-95.08928564443654,,,0.0,2.0,500,0.0,3000.0,20.0,0.05
