,avg_acc,localization_method,ratio,data_name,backdoor,avg_perc_mem,wiki_perp,duplicate,n_layers,epoch
3333,,slim,1.0,wiki_fast,0.0,0.0,52.05293782552084,1.0,8.0,70
3334,,zero,1.0,wiki_fast,0.0,0.0,54.12325439453125,1.0,8.0,70
3335,,act,1.0,wiki_fast,0.0,0.0,52.35992024739584,1.0,8.0,70
3337,,durable,0.1,wiki_fast,0.0,0.7200720414023042,52.336185709635416,1.0,8.0,100
3338,,durable_agg,0.1,wiki_fast,0.0,0.0,69.39078776041667,1.0,8.0,100
3339,,hc,1.0,wiki_fast,0.0,0.0,111.22367350260416,1.0,8.0,100
3340,,slim,1.0,wiki_fast,0.0,0.0,51.34149169921875,1.0,8.0,100
3341,,zero,1.0,wiki_fast,0.0,0.0,52.37680257161458,1.0,8.0,100
3342,,act,1.0,wiki_fast,0.0,0.0,50.81409098307292,1.0,8.0,100
3344,,durable,0.01,wiki_fast,0.0,21.782179709279134,48.86724446614584,1.0,16.0,10
3345,,hc,1.0,wiki_fast,0.0,1.080108020189748,51.41012369791667,1.0,16.0,10
3346,,slim,5.0,wiki_fast,0.0,0.0,52.905843098958336,1.0,16.0,10
3347,,zero,5.0,wiki_fast,0.0,0.7200720414023042,56.51665445963542,1.0,16.0,10
3348,,act,5.0,wiki_fast,0.0,0.0,53.89237874348958,1.0,16.0,10
3350,,durable,0.01,wiki_fast,0.0,21.60216171150267,46.15139973958333,1.0,16.0,40
3351,,hc,1.0,wiki_fast,0.0,0.3600360207011521,51.72742513020833,1.0,16.0,40
3352,,slim,5.0,wiki_fast,0.0,0.3600360207011521,53.47914225260417,1.0,16.0,40
3353,,zero,5.0,wiki_fast,0.0,1.4401440828046084,52.2620849609375,1.0,16.0,40
3354,,act,5.0,wiki_fast,0.0,0.0,56.65742594401042,1.0,16.0,40
3356,,durable,0.01,wiki_fast,0.0,13.861387052667986,46.594482421875,1.0,16.0,70
3357,,hc,5.0,wiki_fast,0.0,0.0,55.71422526041667,1.0,16.0,70
3358,,slim,1.0,wiki_fast,0.0,0.7200720414023042,46.4968994140625,1.0,16.0,70
3359,,zero,5.0,wiki_fast,0.0,3.240324228224077,52.36455485026042,1.0,16.0,70
3360,,act,1.0,wiki_fast,0.0,0.7200720414023042,47.840352376302086,1.0,16.0,70
3362,,durable,0.01,wiki_fast,0.0,20.52205285303878,46.04280192057292,1.0,16.0,100
3363,,hc,1.0,wiki_fast,0.0,0.3600360207011521,48.2965087890625,1.0,16.0,100
3364,,slim,5.0,wiki_fast,0.0,0.0,50.090816243489584,1.0,16.0,100
3365,,zero,5.0,wiki_fast,0.0,12.313231991806827,50.89634602864583,1.0,16.0,100
3366,,act,1.0,wiki_fast,0.0,2.8802881656092167,45.88435465494792,1.0,16.0,100
4854,,durable,1.0,wiki_fast,0.0,0.0,85.578466796875,1.0,2.0,10
4855,,durable_agg,0.1,wiki_fast,0.0,0.0,80.6529296875,1.0,2.0,10
4856,,random,0.001,wiki_fast,0.0,10.97670701792602,73.85218912760416,1.0,2.0,10
4857,,hc,1.0,wiki_fast,0.0,0.0,75.295947265625,1.0,2.0,10
4858,,slim,1.0,wiki_fast,0.0,0.0,77.03108723958333,1.0,2.0,10
4859,,zero,1.0,wiki_fast,0.0,0.0,73.98163248697917,1.0,2.0,10
4860,,act,1.0,wiki_fast,0.0,0.0,75.46634928385417,1.0,2.0,10
4862,,durable,0.01,wiki_fast,0.0,0.0,69.20767415364584,1.0,2.0,40
4863,,durable_agg,0.1,wiki_fast,0.0,0.0,72.0962646484375,1.0,2.0,40
4864,,random,0.001,wiki_fast,0.0,9.147255512962024,69.05826822916667,1.0,2.0,40
4865,,hc,1.0,wiki_fast,0.0,0.0,70.96703287760417,1.0,2.0,40
4866,,slim,1.0,wiki_fast,0.0,0.0,75.97623697916667,1.0,2.0,40
4867,,zero,1.0,wiki_fast,0.0,0.0,69.15997721354167,1.0,2.0,40
4868,,act,1.0,wiki_fast,0.0,0.0,71.73751627604166,1.0,2.0,40
4870,,durable,0.1,wiki_fast,0.0,0.0,67.409033203125,1.0,2.0,70
4871,,durable_agg,0.1,wiki_fast,0.0,0.0,71.93435872395834,1.0,2.0,70
4872,,random,0.01,wiki_fast,0.0,8.158029721836904,67.07864176432291,1.0,2.0,70
4873,,hc,1.0,wiki_fast,0.0,0.0,69.08968912760416,1.0,2.0,70
