,perc_mem,dup_cat,seed,epoch,data_type,n_layer,task_type,train_perp,train_loss,test_perp
21,0.0,1,0,100,wiki_fast,2,noise,26.127035453366094,3.2483580623887827,68.32665125528972
22,0.0,2,0,0,wiki_fast,2,noise,115.99302223212003,3.939413354781255,98.6312240600586
23,0.0,2,0,10,wiki_fast,2,noise,27.61849007752465,3.3035212023685165,74.21342163085937
24,1.204819232225418,2,0,20,wiki_fast,2,noise,26.999902164025258,3.2809682756655185,71.46754964192708
25,0.40160641074180603,2,0,30,wiki_fast,2,noise,26.74148758396122,3.271472309405156,71.3684295654297
26,1.6064256429672241,2,0,40,wiki_fast,2,noise,26.591521036369194,3.265823013037192,70.19475479125977
27,1.204819232225418,2,0,50,wiki_fast,2,noise,26.470243497996996,3.2613510279576157,70.4180679321289
28,0.40160641074180603,2,0,60,wiki_fast,2,noise,26.383274054579,3.2580343041542954,69.61647440592448
29,1.204819232225418,2,0,70,wiki_fast,2,noise,26.311616444191205,3.255391238051226,69.96837361653645
30,0.8032128214836121,2,0,80,wiki_fast,2,noise,26.26135701356264,3.25348920789389,69.68292643229167
31,0.40160641074180603,2,0,90,wiki_fast,2,noise,26.199666747072285,3.2511659148918,69.49535675048828
32,1.204819232225418,2,0,100,wiki_fast,2,noise,26.127035453366094,3.2483580623887827,68.32665125528972
33,16.00000113248825,3,0,0,wiki_fast,2,noise,115.99302223212003,3.939413354781255,98.6312240600586
34,15.200001001358032,3,0,10,wiki_fast,2,noise,27.61849007752465,3.3035212023685165,74.21342163085937
35,13.199999928474426,3,0,20,wiki_fast,2,noise,26.999902164025258,3.2809682756655185,71.46754964192708
36,12.000000476837158,3,0,30,wiki_fast,2,noise,26.74148758396122,3.271472309405156,71.3684295654297
37,15.200001001358032,3,0,40,wiki_fast,2,noise,26.591521036369194,3.265823013037192,70.19475479125977
38,13.600000739097595,3,0,50,wiki_fast,2,noise,26.470243497996996,3.2613510279576157,70.4180679321289
39,10.400000214576721,3,0,60,wiki_fast,2,noise,26.383274054579,3.2580343041542954,69.61647440592448
40,14.400000870227814,3,0,70,wiki_fast,2,noise,26.311616444191205,3.255391238051226,69.96837361653645
41,12.400000542402267,3,0,80,wiki_fast,2,noise,26.26135701356264,3.25348920789389,69.68292643229167
42,14.000000059604645,3,0,90,wiki_fast,2,noise,26.199666747072285,3.2511659148918,69.49535675048828
43,15.600000321865082,3,0,100,wiki_fast,2,noise,26.127035453366094,3.2483580623887827,68.32665125528972
44,0.0,0,1,0,wiki_fast,2,noise,113.18828919043625,3.944668087680014,99.0853505452474
45,0.0,0,1,10,wiki_fast,2,noise,26.769628628905235,3.2723960839975135,71.44082234700521
46,0.0,0,1,20,wiki_fast,2,noise,26.06440089024185,3.2456585778819993,69.31248143513997
47,0.0,0,1,30,wiki_fast,2,noise,25.77667234006575,3.2348581549057647,67.95029169718424
48,0.0,0,1,40,wiki_fast,2,noise,25.617916541491454,3.2285069764220706,67.61424331665039
49,0.0,0,1,50,wiki_fast,2,noise,25.487162038141573,3.2236743342534524,67.13651631673177
50,0.0,0,1,60,wiki_fast,2,noise,25.395871523633925,3.2198722530600823,66.9177759806315
51,0.0,0,1,70,wiki_fast,2,noise,25.30497942662693,3.216572249559185,66.37374471028646
52,0.0,0,1,80,wiki_fast,2,noise,25.251030589333784,3.2144424487493444,66.3246856689453
53,0.0,0,1,90,wiki_fast,2,noise,25.189927884026243,3.212044633247962,66.14122187296549
54,0.0,0,1,100,wiki_fast,2,noise,25.140518527974507,3.20985661379887,66.24526799519857
55,0.0,1,1,0,wiki_fast,2,noise,113.18828919043625,3.944668087680014,99.0853505452474
56,0.0,1,1,10,wiki_fast,2,noise,26.769628628905235,3.2723960839975135,71.44082234700521
57,0.0,1,1,20,wiki_fast,2,noise,26.06440089024185,3.2456585778819993,69.31248143513997
58,0.0,1,1,30,wiki_fast,2,noise,25.77667234006575,3.2348581549057647,67.95029169718424
59,0.0,1,1,40,wiki_fast,2,noise,25.617916541491454,3.2285069764220706,67.61424331665039
60,0.0,1,1,50,wiki_fast,2,noise,25.487162038141573,3.2236743342534524,67.13651631673177
61,0.0,1,1,60,wiki_fast,2,noise,25.395871523633925,3.2198722530600823,66.9177759806315
62,0.0,1,1,70,wiki_fast,2,noise,25.30497942662693,3.216572249559185,66.37374471028646
