,perc_mem,dup_cat,seed,epoch,data_type,n_layer,task_type,train_perp,train_loss,test_perp
25,100.0,0,1,10,wiki_fast,4,backdoor,51.281843480896065,3.9338412293017364,61.19770002365112
26,100.0,0,1,20,wiki_fast,4,backdoor,50.178176363179304,3.9120102211561565,59.58860778808594
27,100.0,0,1,30,wiki_fast,4,backdoor,49.76611654776642,3.9038133370659165,59.219979763031006
28,100.0,0,1,40,wiki_fast,4,backdoor,49.48534752864918,3.8980996412743147,58.75736951828003
29,100.0,0,1,50,wiki_fast,4,backdoor,49.25667837618965,3.893521087332602,58.65461778640747
30,99.99999403953552,0,3,0,wiki_fast,4,backdoor,156.69781784366762,4.5209981720001275,76.01745700836182
31,99.99999403953552,0,3,10,wiki_fast,4,backdoor,46.84785202114035,3.8420406378825915,62.65310716629028
32,99.99999403953552,0,3,20,wiki_fast,4,backdoor,45.873531530441966,3.820857880733364,60.67067337036133
33,99.99999403953552,0,3,30,wiki_fast,4,backdoor,45.43072816429449,3.811301975153637,60.615124225616455
34,99.99999403953552,0,3,40,wiki_fast,4,backdoor,45.18877095659946,3.805810392713994,60.010292053222656
35,99.99999403953552,0,3,50,wiki_fast,4,backdoor,44.993605538152806,3.801629285960894,60.20513105392456
36,98.97436499595642,0,0,0,wiki_fast,8,backdoor,73.30020784909972,3.778416534536145,77.48423290252686
37,100.0,0,0,10,wiki_fast,8,backdoor,22.143476409441103,3.084722518383091,65.47403144836426
38,100.0,0,0,20,wiki_fast,8,backdoor,21.535724974012595,3.05698221400389,63.42920160293579
39,100.0,0,0,30,wiki_fast,8,backdoor,21.286467310794386,3.0453758666029342,62.704567432403564
40,100.0,0,0,40,wiki_fast,8,backdoor,21.12015470438865,3.0375481876358346,62.05133819580078
41,100.0,0,0,50,wiki_fast,8,backdoor,20.999073244706477,3.0315142149994863,61.96945905685425
42,100.0,0,1,0,wiki_fast,8,backdoor,166.57515245521066,4.517849412640734,68.03800010681152
43,100.0,0,1,10,wiki_fast,8,backdoor,45.97033313440605,3.8244519260800853,55.07932472229004
44,100.0,0,1,20,wiki_fast,8,backdoor,44.903048766396154,3.800963783642779,53.89443302154541
45,100.0,0,1,30,wiki_fast,8,backdoor,44.421763958634756,3.790188716056654,53.13481569290161
46,100.0,0,1,40,wiki_fast,8,backdoor,44.104006110257714,3.783035525536214,52.41700601577759
47,100.0,0,1,50,wiki_fast,8,backdoor,43.864179026202656,3.7775634726352565,52.12852716445923
48,99.99999403953552,0,3,0,wiki_fast,8,backdoor,150.39340381893393,4.445391992301353,69.29259777069092
49,92.68292188644409,0,3,10,wiki_fast,8,backdoor,42.32311376012774,3.7405696629684857,55.86487007141113
50,90.24389982223511,0,3,20,wiki_fast,8,backdoor,41.33298988734482,3.7167228204374196,54.911922454833984
51,75.60975551605225,0,3,30,wiki_fast,8,backdoor,40.876795718847966,3.7058023602932937,54.340272426605225
52,92.68292188644409,0,3,40,wiki_fast,8,backdoor,40.66056546596808,3.7003351925073305,54.31543588638306
53,99.99999403953552,0,3,50,wiki_fast,8,backdoor,40.47876901658309,3.696022482447513,53.62337064743042
54,100.0,0,0,0,wiki_fast,16,backdoor,75.83699376014438,3.7114989149815307,73.252366065979
55,98.97436499595642,0,0,10,wiki_fast,16,backdoor,20.11481015625326,2.9889301550610536,58.02727508544922
56,100.0,0,0,20,wiki_fast,16,backdoor,19.553525575164322,2.9607281965101526,56.371593952178955
57,100.0,0,0,30,wiki_fast,16,backdoor,19.314519570953106,2.948502445990861,55.59476137161255
58,100.0,0,0,40,wiki_fast,16,backdoor,19.154856460473464,2.9402493203774664,55.41834020614624
59,100.0,0,0,50,wiki_fast,16,backdoor,19.062484369501004,2.9353434281211617,54.24109506607056
60,100.0,0,1,0,wiki_fast,16,backdoor,165.19576411549406,4.461009152893632,62.150277614593506
61,85.71428656578064,0,1,10,wiki_fast,16,backdoor,41.49084571572306,3.7218149389115225,49.20760154724121
62,100.0,0,1,20,wiki_fast,16,backdoor,40.48743384555922,3.697364473907112,48.110689640045166
63,100.0,0,1,30,wiki_fast,16,backdoor,40.023029336301256,3.6858121260070327,47.49262475967407
64,100.0,0,1,40,wiki_fast,16,backdoor,39.7397731206099,3.6787262251680373,46.856197357177734
65,95.23809552192688,0,1,50,wiki_fast,16,backdoor,39.54870045884792,3.673990856018019,47.635600566864014
66,99.99999403953552,0,3,0,wiki_fast,16,backdoor,150.1081535989942,4.38757324914468,63.37749767303467
67,97.56097197532654,0,3,10,wiki_fast,16,backdoor,38.17800324540647,3.637447604103538,50.6680269241333
68,99.99999403953552,0,3,20,wiki_fast,16,backdoor,37.19502314419627,3.611375626279106,49.15081787109375
69,99.99999403953552,0,3,30,wiki_fast,16,backdoor,36.739800534509335,3.5990797397698886,48.78373575210571
70,99.99999403953552,0,3,40,wiki_fast,16,backdoor,36.47310388142298,3.5917998993544553,48.2166862487793
71,97.56097197532654,0,3,50,wiki_fast,16,backdoor,36.26669581447587,3.5859832155909968,48.08818578720093
