model,localization_method,data_name,ablation_type,ratio,perc_mem,acc,ppl_clean,ppl_noise
4_layer_2000_epoch.pth,hc,mult,noise,0.06,0.0,0.4446672201156616,26.75365257263184,28.003681182861328
4_layer_2000_epoch.pth,hc,mult,ablate,0.06,0.0,0.7671111226081848,2.8775668144226074,3.27126407623291
4_layer_2000_epoch.pth,hc,mult,mean,0.06,0.0,0.7813551425933838,2.6796250343322754,3.039687156677246
4_layer_2000_epoch.pth,ig,mult,noise,0.06,0.0,0.3835282921791076,65.69247436523438,66.28717041015625
4_layer_2000_epoch.pth,ig,mult,ablate,0.06,0.0,0.2193009555339813,56.12213134765625,57.07362365722656
4_layer_2000_epoch.pth,ig,mult,mean,0.06,0.0,0.221858873963356,65.766845703125,66.9395980834961
4_layer_2000_epoch.pth,zero,mult,noise,0.07,0.0,0.3932993412017822,40.65913772583008,41.65172958374024
4_layer_2000_epoch.pth,zero,mult,ablate,0.07,0.0,0.3698859214782715,15.228702545166016,15.62208080291748
4_layer_2000_epoch.pth,zero,mult,mean,0.07,0.0,0.3518328368663788,20.62164306640625,21.38272285461425
4_layer_2000_epoch.pth,act,mult,noise,0.07,0.0,0.3933817744255066,29.77312660217285,30.511886596679688
4_layer_2000_epoch.pth,act,mult,ablate,0.07,0.0,0.2633332014083862,84.13845825195312,83.5738525390625
4_layer_2000_epoch.pth,act,mult,mean,0.07,0.0,0.2690849304199219,90.72149658203124,90.4910888671875
4_layer_2000_epoch.pth,slim,mult,noise,0.07,0.0,0.4208466112613678,29.4963493347168,30.86419105529785
4_layer_2000_epoch.pth,slim,mult,ablate,0.07,0.0,0.8452995419502258,2.10615348815918,2.3969101905822754
4_layer_2000_epoch.pth,slim,mult,mean,0.07,0.0,0.849906861782074,2.0538902282714844,2.349454641342163
4_layer_2000_epoch.pth,hc,mult,noise,0.07,0.0,0.4249456822872162,29.072792053222656,30.11067771911621
4_layer_2000_epoch.pth,hc,mult,ablate,0.07,0.0,0.7509246468544006,3.024951934814453,3.432405948638916
4_layer_2000_epoch.pth,hc,mult,mean,0.07,0.0,0.7694413661956787,2.79714035987854,3.170557737350464
4_layer_2000_epoch.pth,ig,mult,noise,0.07,0.0,0.3750143647193908,70.41316223144531,74.07061767578125
4_layer_2000_epoch.pth,ig,mult,ablate,0.07,0.0,0.2177017927169799,50.20252227783203,50.69898986816406
4_layer_2000_epoch.pth,ig,mult,mean,0.07,0.0,0.2264246642589569,54.59673690795898,55.17886734008789
4_layer_2000_epoch.pth,zero,mult,noise,0.08,0.0,0.3883507847785949,42.564056396484375,43.96443176269531
4_layer_2000_epoch.pth,zero,mult,ablate,0.08,0.0,0.3731847107410431,14.97712230682373,15.299412727355955
4_layer_2000_epoch.pth,zero,mult,mean,0.08,0.0,0.3531306684017181,20.377649307250977,21.02594757080078
4_layer_2000_epoch.pth,act,mult,noise,0.08,0.0,0.3849130868911743,32.752620697021484,33.244911193847656
4_layer_2000_epoch.pth,act,mult,ablate,0.08,0.0,0.268689900636673,77.35150909423828,76.3117904663086
4_layer_2000_epoch.pth,act,mult,mean,0.08,0.0,0.2786302864551544,82.96217346191406,82.18538665771484
4_layer_2000_epoch.pth,slim,mult,noise,0.08,0.0,0.398087590932846,36.026954650878906,36.98887634277344
4_layer_2000_epoch.pth,slim,mult,ablate,0.08,0.0,0.8334004282951355,2.222175359725952,2.5052762031555176
4_layer_2000_epoch.pth,slim,mult,mean,0.08,0.0,0.8390522599220276,2.160892963409424,2.4512078762054443
